"LabelID","Label"
"1","10"
"2","10 X 18"
"3","10-18"
"4","10/18"
"5","12 BIS"
"6","12-21"
"7","20th Century Fox"
"8","2M"
"9","404"
"10","404 Editions"
"11","5 Continents"
"12","50 Minutes"
"13","7 Seasons"
"14","7ème Cercle"
"15","978-2-9557501-4-8"
"16","A et J PICARD"
"17","A. Colin"
"18","A. Fournier"
"19","A. Lemerre"
"20","A. Michel"
"21","A. Taffin-Lefort"
"22","A.-G. Nizet"
"23","A.G. Nizet"
"24","Abrams"
"25","ACC Art Books"
"26","Accents poétiques"
"27","ACR Edition"
"28","Acte Sud"
"29","Actes Sud"
"30","Actes Sud Editions"
"31","Actes Sud-Papiers"
"32","Action Publishing (Glendale, CA)"
"33","Ad Vitam"
"34","AdA"
"35","Adam Biro"
"36","Adamant Media Corporation"
"37","ADIDAS"
"38","Administration du guide l'Atlantic"
"39","Aedis"
"40","AFNIL"
"41","Afrhc"
"42","Agapea"
"43","Agnès RUIZ"
"44","Agone"
"45","Agullo"
"46","Akata"
"47","Akileos"
"48","AL DANTE"
"49","Al Manar - Alain Gorius"
"50","Alain Barthélémy"
"51","Albert René"
"52","ALBIN MICHEL"
"53","Albin Michel - L'Echo des Savanes"
"54","Albin Michel Jeunesse"
"55","Albin Michel/Les Belles Lettres"
"56","Alfred Publishing"
"57","Alfred Publishing Company"
"58","Alianza Editorial"
"59","Alianza Editorial Sa"
"60","Alinéa"
"61","Alire"
"62","Allary"
"63","Allia"
"64","Alma Editeur"
"65","Alphee"
"66","ALPINA"
"67","Alternatives"
"68","AMAES"
"69","Amalthée"
"70","AmazonCrossing"
"71","AMMO Books LLC"
"72","AMPHORA"
"73","Amyot"
"74","An Here"
"75","Anacharsis"
"76","Anagrama"
"77","André Beguin"
"78","Andrews McMeel Publishing"
"79","Angelesse Angie éditions"
"80","Anima Studio Productions"
"81","Ankama"
"82","ANKAMA EDITIONS"
"83","Anne Carrière"
"84","Anne-Marie Métailié"
"85","Antigone14 Editions"
"86","Antoine MARY"
"87","Aperture"
"88","Aperture (2015-10-05)"
"89","Appleton-Century-Crofts"
"90","Archeo-Numis"
"91","Archimbaud-Klincksieck"
"92","Archimbaud-Séguier"
"93","Archipel"
"94","Archipoche"
"95","Archives & Culture"
"96","Archives Cult"
"97","Arfon"
"98","Arfuyen"
"99","Argusvalentines"
"100","Argusvalentines.sa"
"101","Ariane"
"102","Arkhana Vox"
"103","ARKHE EDITIONS"
"104","Arléa"
"105","Arléa Editions"
"106","Armand Colin"
"107","Armand Gérard à 50 exemplaires"
"108","Arnoldsche"
"109","Ars Magna"
"110","Art Absolument"
"111","Art Books International"
"112","Art et Comedie"
"113","Arthaud"
"114","Arthaud poche"
"115","Arthaud Sempervivum 16"
"116","Arthaud, Collection les Beaux Pays"
"117","Artheme Fayard"
"118","Arthena"
"119","Artois Presses Université"
"120","Arts des 2 mondes"
"121","Arts et BD"
"122","Arvensa Editions"
"123","Assimil"
"124","Association des publications de l'Université de Toulouse-Le Mirail"
"125","Association Française d'Action Artistique / Ministère de la Coopération et du Développement"
"126","Assouline"
"127","Asssouline"
"128","ASTIBERRI EDICIONES"
"129","Asuka"
"130","Atlande"
"131","Atlantica"
"132","Atout France"
"133","Atrabile"
"134","Atrabile Editions"
"135","Au Diable Vauvert"
"136","Aubanel"
"137","Audiolib"
"138","Autrement"
"139","Autrement Dit"
"140","Aux Amateurs de Livres"
"141","Auzou"
"142","Auzou Editions"
"143","Babel"
"144","Babylone Editions"
"145","Baie des Anges"
"146","BAKER STREET EDITIONS"
"147","Balland"
"148","Bamboo"
"149","Bamboo Editions"
"150","Bartillat"
"151","BASTAQUE"
"152","Baudelaire"
"153","Bayard"
"154","Bayard Culture"
"155","Bayard Jeunesse"
"156","Bayard Livres"
"157","BCP de l'Essonne"
"158","BD Kids"
"159","Beauchesne"
"160","Beauchesne Editions"
"161","Beaux Arts Editions"
"162","Beaux Arts Magazine"
"163","Belfond"
"164","Belfond (réédition numérique FeniXX)"
"165","Belial"
"166","BELIN"
"167","Belin - Gallimard"
"168","BELIN EDITIONS"
